candidato;codigo_materia;dados_tramitacao
RONALDO_CAIADO;130037;
RONALDO_CAIADO;131036;
RONALDO_CAIADO;134918;
RONALDO_CAIADO;123203;
RONALDO_CAIADO;120642;
RONALDO_CAIADO;123108;
RONALDO_CAIADO;120583;
RONALDO_CAIADO;120453;
RONALDO_CAIADO;120260;
RONALDO_CAIADO;126893;
RONALDO_CAIADO;124837;
RONALDO_CAIADO;122324;
RONALDO_CAIADO;124546;
RONALDO_CAIADO;124541;
RONALDO_CAIADO;126367;
RONALDO_CAIADO;130218;
RONALDO_CAIADO;131110;
RONALDO_CAIADO;132465;
RONALDO_CAIADO;133579;
RONALDO_CAIADO;122429;
RONALDO_CAIADO;120044;
RONALDO_CAIADO;121799;
RONALDO_CAIADO;124748;
RONALDO_CAIADO;124190;
RONALDO_CAIADO;121441;
RONALDO_CAIADO;120160;
RONALDO_CAIADO;127846;
RONALDO_CAIADO;132949;
RONALDO_CAIADO;135044;
RONALDO_CAIADO;121290;
RONALDO_CAIADO;120511;
RONALDO_CAIADO;124481;
RONALDO_CAIADO;119889;
RONALDO_CAIADO;122308;
RONALDO_CAIADO;121883;
RONALDO_CAIADO;125332;
RONALDO_CAIADO;125463;
RONALDO_CAIADO;122780;
RONALDO_CAIADO;122776;
RONALDO_CAIADO;130364;
RONALDO_CAIADO;123149;
RONALDO_CAIADO;121016;
RONALDO_CAIADO;121857;
RONALDO_CAIADO;127320;
RONALDO_CAIADO;124021;
RONALDO_CAIADO;123743;
RONALDO_CAIADO;122332;
RONALDO_CAIADO;122880;
RONALDO_CAIADO;120149;
RONALDO_CAIADO;123094;
RONALDO_CAIADO;121634;
RONALDO_CAIADO;122779;
RONALDO_CAIADO;122777;
RONALDO_CAIADO;127844;
RONALDO_CAIADO;130393;
RONALDO_CAIADO;130399;
RONALDO_CAIADO;123732;
RONALDO_CAIADO;121015;
RONALDO_CAIADO;120937;
RONALDO_CAIADO;119677;
RONALDO_CAIADO;125276;
RONALDO_CAIADO;121677;
RONALDO_CAIADO;120501;
RONALDO_CAIADO;119933;
RONALDO_CAIADO;124760;
RONALDO_CAIADO;121498;
RONALDO_CAIADO;123841;
RONALDO_CAIADO;122690;
RONALDO_CAIADO;120247;
RONALDO_CAIADO;123150;
RONALDO_CAIADO;121759;
RONALDO_CAIADO;127774;
RONALDO_CAIADO;129581;
RONALDO_CAIADO;132720;
RONALDO_CAIADO;120258;
RONALDO_CAIADO;125022;
RONALDO_CAIADO;123740;
RONALDO_CAIADO;119676;
RONALDO_CAIADO;127681;
RONALDO_CAIADO;127629;
RONALDO_CAIADO;126383;
RONALDO_CAIADO;122738;
RONALDO_CAIADO;120499;
RONALDO_CAIADO;121798;
RONALDO_CAIADO;121107;
RONALDO_CAIADO;123202;
RONALDO_CAIADO;119762;
RONALDO_CAIADO;128795;
RONALDO_CAIADO;125525;
RONALDO_CAIADO;126102;
RONALDO_CAIADO;124944;
RONALDO_CAIADO;124452;
RONALDO_CAIADO;126708;
RONALDO_CAIADO;121844;
RONALDO_CAIADO;125291;
RONALDO_CAIADO;121784;
RONALDO_CAIADO;120198;
RONALDO_CAIADO;124749;
RONALDO_CAIADO;121432;
RONALDO_CAIADO;128536;
RONALDO_CAIADO;130420;
RONALDO_CAIADO;132946;
RONALDO_CAIADO;121701;
RONALDO_CAIADO;121078;
RONALDO_CAIADO;120356;
RONALDO_CAIADO;119935;
RONALDO_CAIADO;121676;
RONALDO_CAIADO;122575;
RONALDO_CAIADO;119882;
RONALDO_CAIADO;130216;
RONALDO_CAIADO;130477;
RONALDO_CAIADO;130946;
RONALDO_CAIADO;131160;
RONALDO_CAIADO;133053;
RONALDO_CAIADO;134920;
RONALDO_CAIADO;121695;
RONALDO_CAIADO;127318;
RONALDO_CAIADO;132074;
RONALDO_CAIADO;121495;
RONALDO_CAIADO;126644;
RONALDO_CAIADO;127425;
RONALDO_CAIADO;124783;
RONALDO_CAIADO;125040;
RONALDO_CAIADO;124014;
RONALDO_CAIADO;124046;
RONALDO_CAIADO;130392;
RONALDO_CAIADO;133214;
RONALDO_CAIADO;133944;
RONALDO_CAIADO;125012;
RONALDO_CAIADO;119674;
RONALDO_CAIADO;123166;
RONALDO_CAIADO;128293;
